Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Leading percentages	Reference
"2p5.3s.(3P*).4d"	"2P*"	"1/2"	2	""	"297724"	""	"7"	"  71                                           or  :    39  2p5.3s.(3P*<2>).4d    2[1]*       "	""
"2p5.3s.(3P*).4d"	"2P*"	"3/2"	4	""	"297848"	""	"7"	"  40                                           or  :    45  2p5.3s.(3P*<2>).4d    2[2]*       "	""
"2p5.3s.(3P*).4d"	"2D*"	"3/2"	4	""	"298986"	""	"13"	"  43                                           or  :    41  2p5.3s.(3P*<1>).4d    2[2]*       "	""
"2p5.3s.(3P*).4d"	"4F*"	"3/2"	4	""	"300040"	""	"7"	"  61                                           or  :    80  2p5.3s.(3P*<0>).4d    2[2]*       "	""
"2p5.3s.(1P*).5s"	"2P*?"	"3/2"	4	""	"300621"	""	"7"	"  79                                           or  :    79  2p5.3s.(1P*<1>).5s    2[1]*       "	""
"2p5.3s.(3P*).6s"	"2P*"	"3/2"	4	""	"300777"	""	"7"	"  47                                           or  :    76  2p5.3s.(3P*<2>).6s    2[2]*       "	""
"2p5.3s.(3P*).6s"	"4P*?"	"3/2"	4	""	"301423"	""	"7"	"  41                                           or  :    61  2p5.3s.(3P*<1>).6s    2[1]*       "	""
"2p5.3s.(3P*).6s"	"4P*?"	"1/2"	2	""	"301486"	""	"13"	"  54                                           or  :    81  2p5.3s.(3P*<1>).6s    2[1]*       "	""
"2p5.3s.(1P*).4d"	"2P*?"	"3/2"	4	""	"301588"	""	"7"	"  23                                           or  :    23  2p5.3s.(1P*<1>).4d    2[1]*       "	""
"2p5.3s.(1P*).4d"	"2P*?"	"1/2"	2	""	"301976"	""	"7"	"  40  2p5.3s.(3P*).5d 4D*                      or  :    28  2p5.3s.(1P*<1>).4d    2[1]*       "	""
"2p5.3s.(3P*).6s"	"2P*?"	"1/2"	2	""	"302142"	""	"18"	"  51                                           or  :    90  2p5.3s.(3P*<0>).6s    2[0]*       "	""
"2p5.3s.(3P*).5d"	"4F*?"	"3/2"	4	""	"302419"	""	"7"	"  30                                           or  :    60  2p5.3s.(3P*<1>).5d    2[2]*       "	""
"2p5.3s.(3P*).5d"	"4D*?"	"1/2"	2	""	"302458"	""	"7"	"  41                                           or  :    56  2p5.3s.(3P*<1>).5d    2[1]*       "	""
